WKT;identificatie;rdf_seealso;bouwjaar;status;gebruiksdoel;oppervlakte_min;oppervlakte_max;aantal_verblijfsobjecten;fuuid
"POLYGON ((80334.966 454378.792,80333.226 454377.759,80331.122 454381.073,80327.955 454379.149,80334.214 454368.232,80339.275 454370.981,80334.966 454378.792))";"0518100000204026";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204026;"1902";Pand in gebruik;woonfunctie;"57";"88";"2";pand.2791f7ea-ef74-4ed5-8e9b-dd0d4a3c6675
"POLYGON ((79602.137 454914.584,79602.399 454914.8,79600.529 454916.878,79600.396 454917.039,79598.267 454919.588,79596.437 454918.141,79598.651 454915.09,79596.557 454913.536,79602.113 454905.705,79606.314 454908.695,79602.137 454914.584))";"0518100000203534";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203534;"1930";Pand in gebruik;"industriefunctie,woonfunctie";"51";"70";"2";pand.3edf7f7a-12da-4df9-8336-33618d0a6595
"POLYGON ((79559.845 454392.067,79557.896 454390.99,79557.095 454392.439,79558.816 454393.377,79558.163 454394.623,79556.416 454393.667,79556.33 454393.824,79554.662 454392.937,79560.017 454382.903,79563.673 454384.774,79559.845 454392.067))";"0518100000203561";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203561;"1897";Pand in gebruik;woonfunctie;"63";"63";"1";pand.790089ed-7abe-438e-99a1-e428ab6444bc
"POLYGON ((79552.714 454388.305,79551.901 454389.816,79551.291 454390.958,79551.142 454390.852,79549.384 454389.877,79549.306 454390.017,79547.509 454389.165,79552.883 454379.252,79555.735 454380.711,79556.629 454381.169,79552.714 454388.305))";"0518100000203562";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203562;"1897";Pand in gebruik;woonfunctie;"65";"65";"1";pand.5f761605-6309-4ba5-ace4-774590c000e7
"POLYGON ((79511.901 454371.017,79508.444 454369.238,79509.272 454367.945,79511.024 454368.805,79511.752 454367.322,79510.0 454366.462,79511.141 454364.163,79513.621 454359.166,79517.262 454361.029,79511.901 454371.017))";"0518100000203563";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203563;"1897";Pand in gebruik;woonfunctie;"61";"61";"1";pand.192d94c7-4a93-438f-9412-a9066d72e652
"POLYGON ((79511.141 454364.163,79501.273 454359.122,79503.237 454355.439,79505.162 454354.839,79513.621 454359.166,79511.141 454364.163))";"0518100000203564";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203564;"1897";Pand in gebruik;woonfunctie;"102";"102";"1";pand.f81129d8-d181-420d-9e9f-7ab766f3ab30
"POLYGON ((79588.998 454388.244,79585.485 454386.447,79590.842 454376.666,79593.155 454377.851,79594.132 454378.352,79588.998 454388.244))";"0518100000203566";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203566;"1893";Pand in gebruik;woonfunctie;"63";"63";"1";pand.b6a2c883-7667-41c1-a6df-0b807f89b8d5
"POLYGON ((79556.819 454371.782,79553.39 454370.028,79558.489 454360.304,79561.826 454361.937,79556.819 454371.782))";"0518100000203567";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203567;"1893";Pand in gebruik;woonfunctie;"67";"67";"1";pand.2202bd15-9127-4d0f-8095-f373f58228fe
"POLYGON ((80632.725 454755.029,80628.814 454752.364,80628.148 454753.365,80629.849 454754.616,80629.541 454755.003,80630.116 454755.458,80627.955 454758.442,80625.555 454757.132,80624.709 454758.54,80628.994 454760.752,80627.102 454763.269,80622.754 454760.804,80629.726 454750.34,80634.415 454745.349,80637.539 454748.176,80632.725 454755.029))";"0518100000204524";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204524;"1700";Pand in gebruik;"winkelfunctie,woonfunctie";"70";"75";"2";pand.22da1e29-9cb5-454c-872b-f69bff9515da
"POLYGON ((80393.598 454264.756,80389.035 454261.991,80386.725 454265.661,80378.091 454260.286,80380.284 454256.732,80386.227 454247.099,80387.052 454247.608,80399.355 454255.217,80399.291 454255.337,80393.598 454264.756))";"0518100000204177";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204177;"1924";Pand in gebruik;woonfunctie;"368";"368";"1";pand.7f1e65b2-4f7a-4e30-8d5d-dca31ce214de
"POLYGON ((80436.342 454278.002,80436.87 454279.898,80424.107 454283.389,80423.882 454282.784,80422.783 454282.108,80420.398 454280.642,80412.502 454275.789,80418.067 454266.804,80423.583 454270.19,80423.274 454270.694,80425.763 454272.222,80425.805 454272.154,80428.036 454273.496,80428.226 454273.61,80428.487 454273.184,80436.342 454278.002))";"0518100000204178";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204178;"1988";Pand in gebruik;woonfunctie;"63";"82";"8";pand.5871bedf-f6d0-4b3a-97f6-c3ebec042305
"POLYGON ((79535.028 454926.959,79534.371 454927.74,79531.946 454930.677,79527.062 454926.508,79523.192 454923.205,79526.144 454919.623,79535.028 454926.959))";"0518100000205062";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205062;"1991";Pand in gebruik;woonfunctie;"74";"98";"2";pand.29c04f33-b5ad-44d7-aa4a-9abca3bc4928
"POLYGON ((80316.563 454235.577,80310.593 454245.562,80305.535 454242.545,80304.484 454241.918,80303.728 454241.467,80303.959 454241.078,80304.117 454240.814,80300.539 454238.678,80300.377 454238.952,80300.127 454239.375,80299.363 454238.936,80298.282 454238.293,80293.061 454235.185,80293.097 454235.125,80292.773 454234.932,80298.563 454225.248,80298.761 454225.361,80298.998 454225.071,80305.288 454228.833,80310.66 454232.046,80316.563 454235.577))";"0518100000205065";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205065;"1993";Pand in gebruik;woonfunctie;"75";"93";"8";pand.baf6fbef-f7d1-472e-b2f6-7c8d1e34da89
"POLYGON ((80133.554 454399.296,80127.721 454397.309,80126.391 454396.856,80129.775 454386.925,80130.08 454385.906,80131.45 454386.367,80135.916 454387.869,80137.244 454388.315,80133.554 454399.296))";"0518100000205071";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205071;"1896";Pand in gebruik;woonfunctie;"49";"64";"4";pand.6ce95192-8559-48b6-a587-fface37ec59f
"POLYGON ((79487.506 454630.198,79485.783 454632.82,79484.567 454632.03,79483.014 454634.398,79472.792 454627.688,79476.185 454622.425,79479.324 454617.556,79489.569 454624.244,79489.362 454624.563,79488.06 454626.569,79489.347 454627.394,79487.506 454630.198))";"0518100000203223";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203223;"1938";Pand in gebruik;woonfunctie;"58";"68";"6";pand.cd9b8f6a-099d-4589-b8aa-4ee5246e81c8
"POLYGON ((79611.817 454388.626,79609.149 454393.591,79598.365 454388.046,79600.926 454383.026,79611.817 454388.626))";"0518100000203225";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203225;"1893";Pand in gebruik;woonfunctie;"81";"81";"1";pand.3ad8e08c-5de9-4ee2-a29f-4eba578d5ff5
"POLYGON ((79567.631 454471.262,79559.248 454466.769,79561.917 454461.808,79570.292 454466.297,79567.631 454471.262))";"0518100000203226";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203226;"1897";Pand in gebruik;woonfunctie;"98";"98";"1";pand.3af08d52-a7f1-472f-8e97-b4875981cdc5
"POLYGON ((79994.24 454933.239,79992.731 454935.129,79992.653 454935.067,79990.288 454938.009,79978.888 454929.937,79981.094 454926.78,79980.435 454926.214,79979.748 454927.117,79972.452 454922.04,79972.894 454921.515,79970.463 454919.633,79971.166 454918.716,79972.212 454917.429,79974.568 454919.526,79994.24 454933.239))";"0518100000205548";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205548;"1915";Pand in gebruik;woonfunctie;"124";"143";"2";pand.90a734ca-189b-45df-add0-79da81172a69
"POLYGON ((80620.431 454297.977,80616.228 454295.703,80615.734 454295.448,80615.73 454295.446,80617.422 454292.163,80618.525 454289.993,80622.75 454292.326,80623.415 454292.693,80623.175 454293.144,80620.431 454297.977))";"0518100000205112";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205112;"1900";Pand in gebruik;woonfunctie;"46";"46";"1";pand.8af6671e-f2b2-4576-bb6c-a9fb3355e116
"POLYGON ((80350.101 454115.494,80348.573 454116.086,80344.124 454113.68,80343.58 454111.967,80338.383 454109.141,80337.085 454111.529,80335.194 454110.294,80340.557 454101.072,80354.166 454108.504,80350.101 454115.494))";"0518100000204592";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204592;"1938";Pand in gebruik;woonfunctie;"55";"84";"8";pand.405c61c7-2733-4975-b482-50da711e61c3
"POLYGON ((80431.13 454163.171,80428.926 454161.87,80428.144 454163.285,80425.459 454161.754,80420.607 454158.986,80420.136 454158.717,80415.649 454156.157,80421.727 454145.706,80426.661 454148.576,80429.758 454150.377,80432.425 454151.928,80436.313 454154.189,80431.13 454163.171))";"0518100000204593";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204593;"1938";Pand in gebruik;woonfunctie;"54";"82";"8";pand.ad2d557d-e915-4952-9dde-91286a6e62fc
"POLYGON ((80188.007 454170.363,80187.019 454171.902,80183.405 454169.747,80181.612 454168.677,80179.913 454167.657,80175.349 454164.934,80181.313 454155.225,80182.19 454155.715,80186.326 454158.024,80188.315 454154.923,80195.132 454159.271,80188.007 454170.363))";"0518100000205157";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205157;"1995";Pand in gebruik;woonfunctie;"69";"81";"7";pand.c4160895-f51d-4e53-9428-9d286856b7e7
"POLYGON ((79695.976 454258.514,79693.965 454257.347,79690.406 454263.557,79687.648 454262.004,79695.898 454247.281,79700.991 454250.187,79695.976 454258.514))";"0518100000203265";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203265;"1904";Pand in gebruik;woonfunctie;"71";"89";"2";pand.5963eae8-7bcb-411f-8a71-6a43e73c77de
"POLYGON ((80398.039 454207.369,80393.606 454204.751,80399.135 454195.474,80403.536 454198.074,80398.039 454207.369))";"0518100000205179";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205179;"1996";Pand in gebruik;woonfunctie;"96";"96";"1";pand.5f4ba02c-e496-4597-b8cc-90022c25e505
"POLYGON ((80402.449 454209.974,80398.039 454207.369,80403.536 454198.074,80407.939 454200.674,80402.449 454209.974))";"0518100000205180";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205180;"1996";Pand in gebruik;woonfunctie;"89";"89";"1";pand.a45d869a-86f6-47c5-86e0-a810fed325e9
"POLYGON ((80311.682 454152.385,80306.951 454149.475,80310.645 454143.221,80315.427 454146.046,80311.682 454152.385))";"0518100000205181";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205181;"1996";Pand in gebruik;woonfunctie;"89";"89";"1";pand.7cca6b90-2ff7-4358-8219-a6015dafda91
"POLYGON ((80340.76 454173.534,80346.216 454164.236,80350.648 454166.855,80345.165 454176.136,80340.76 454173.534))";"0518100000205183";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205183;"1996";Pand in gebruik;woonfunctie;"82";"85";"2";pand.b9c543b4-caf3-41e8-bcaf-76ae5aa6dd43
"POLYGON ((80428.943 454225.624,80424.58 454223.046,80430.051 454213.727,80434.47 454216.331,80428.943 454225.624))";"0518100000205184";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205184;"1996";Pand in gebruik;woonfunctie;"96";"96";"1";pand.ebf9cece-d874-4c47-8bc9-4ac700e038dc
"POLYGON ((80462.691 454232.959,80460.159 454237.848,80450.537 454232.908,80453.489 454227.537,80453.693 454227.657,80457.19 454229.717,80462.691 454232.959))";"0518100000205185";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205185;"1996";Pand in gebruik;woonfunctie;"93";"98";"2";pand.a8b45b92-ef0c-41d7-a0c2-989ea5ac9729
"POLYGON ((79480.041 454759.664,79480.139 454759.553,79480.404 454759.724,79477.521 454764.338,79469.234 454759.306,79467.46 454762.086,79463.925 454759.623,79463.185 454760.595,79462.84 454760.372,79468.302 454751.947,79472.284 454754.528,79472.308 454754.468,79472.58 454754.649,79472.494 454754.761,79480.041 454759.664))";"0518100000204627";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204627;"1896";Pand in gebruik;woonfunctie;"80";"80";"1";pand.32f073cb-c994-4ed8-9532-921c97416509
"POLYGON ((79468.659 454778.517,79464.041 454775.747,79462.023 454774.297,79461.635 454774.018,79464.868 454769.542,79471.628 454773.767,79468.659 454778.517))";"0518100000204628";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204628;"1896";Pand in gebruik;woonfunctie;"75";"75";"1";pand.70d159c8-95f2-4c22-80d9-c3513bc9b911
"POLYGON ((79679.035 454960.409,79675.749 454964.406,79666.127 454956.704,79669.016 454953.2,79669.477 454952.641,79679.035 454960.409))";"0518100000205636";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205636;"1894";Pand in gebruik;"kantoorfunctie,woonfunctie";"174";"174";"1";pand.10dbacd2-b384-4fc9-98a2-2340a3e34afb
"POLYGON ((80452.005 454808.681,80452.146 454808.785,80452.081 454808.874,80448.463 454813.78,80450.34 454815.16,80450.648 454814.741,80450.866 454814.901,80447.35 454819.694,80447.28 454819.642,80446.331 454820.932,80439.842 454816.179,80415.703 454798.502,80410.977 454804.938,80405.675 454801.039,80405.66 454801.028,80406.691 454799.626,80403.033 454796.939,80401.439 454799.139,80400.801 454798.667,80401.367 454797.894,80402.343 454796.563,80409.181 454787.215,80409.417 454787.388,80414.163 454780.91,80414.579 454781.213,80418.642 454784.21,80452.005 454808.681))";"0518100000203790";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203790;"1971";Pand in gebruik;woonfunctie;"54";"101";"65";pand.dc151362-fa63-431b-81db-1fd05ba30187
"POLYGON ((79761.767 454134.14,79756.801 454131.285,79754.27 454129.83,79747.916 454126.177,79754.01 454115.626,79758.291 454118.063,79758.785 454117.174,79761.111 454118.503,79761.352 454118.641,79764.141 454120.235,79763.634 454121.187,79767.727 454123.553,79761.767 454134.14))";"0518100000204636";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204636;"1988";Pand in gebruik;woonfunctie;"69";"107";"8";pand.2102836a-1a85-43e8-ad01-4f390e5d9d4d
"POLYGON ((79598.695 454173.09,79595.532 454171.62,79594.933 454172.953,79593.59 454175.939,79591.762 454175.117,79587.948 454173.402,79588.308 454172.602,79587.27 454172.137,79591.855 454162.637,79601.528 454166.992,79598.695 454173.09))";"0518100000204641";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204641;"1986";Pand in gebruik;woonfunctie;"75";"92";"3";pand.0da4c61e-d952-4b33-8142-c35d9272dcb7
"POLYGON ((80351.198 454351.772,80346.466 454348.948,80344.381 454352.357,80343.72 454351.972,80340.781 454350.26,80338.556 454349.047,80339.206 454347.943,80341.894 454343.377,80344.737 454338.548,80350.002 454329.605,80360.725 454335.835,80351.198 454351.772))";"0518100000204321";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204321;"1900";Pand in gebruik;overige gebruiksfunctie;"40";"211";"5";pand.e77d2d0b-19c6-42a2-ad91-89008cf0cd73
"POLYGON ((80068.297 454267.872,80065.941 454269.273,80069.37 454274.912,80067.112 454276.217,80058.423 454261.483,80062.898 454258.856,80068.297 454267.872))";"0518100000205688";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205688;"1990";Pand in gebruik;woonfunctie;"59";"96";"2";pand.bba02065-ecce-4a99-825f-8775b84f5dc2
"POLYGON ((80252.17 454249.007,80251.831 454249.482,80249.515 454248.209,80246.382 454253.463,80243.611 454251.794,80252.978 454235.821,80258.013 454238.836,80252.17 454249.007))";"0518100000205699";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205699;"1900";Pand in gebruik;woonfunctie;"67";"124";"3";pand.b9b192b9-7d1a-40e5-a346-0e2ce48d6f2e
"POLYGON ((80560.026 454501.316,80554.945 454498.087,80557.4 454494.127,80562.47 454497.348,80560.026 454501.316))";"0518100000204364";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204364;"1660";Pand in gebruik;woonfunctie;"62";"62";"1";pand.fccbd157-9141-4ba0-ac04-978c5a82a4fe
"POLYGON ((80568.606 454487.415,80563.499 454484.293,80566.241 454479.871,80571.306 454483.076,80568.606 454487.415))";"0518100000204365";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204365;"1660";Pand in gebruik;woonfunctie;"62";"62";"1";pand.1829ec06-89f9-4882-b26f-b76c76936757
"POLYGON ((80562.47 454497.348,80557.4 454494.127,80559.954 454490.009,80565.025 454493.201,80562.47 454497.348))";"0518100000204366";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204366;"1660";Pand in gebruik;woonfunctie;"62";"62";"1";pand.ff717db0-c1bf-4c45-8811-c081d1cda7c5
"POLYGON ((80597.242 454438.851,80598.419 454439.508,80596.498 454442.591,80591.343 454439.394,80593.209 454436.384,80593.039 454436.278,80596.15 454431.285,80596.203 454431.2,80600.396 454433.538,80597.242 454438.851))";"0518100000204367";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204367;"1660";Pand in gebruik;woonfunctie;"104";"104";"1";pand.613a78c6-a9df-4867-affd-d84dd95855e6
"POLYGON ((80191.956 454415.644,80192.108 454416.358,80192.007 454416.366,80191.874 454417.091,80190.925 454418.143,80190.232 454418.321,80190.223 454418.411,80189.504 454418.329,80185.993 454417.127,80180.879 454405.337,80180.041 454403.295,80179.049 454400.943,80184.761 454398.529,80186.213 454401.959,80191.956 454415.644))";"0518100000205705";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205705;"1927";Pand in gebruik;"winkelfunctie,woonfunctie";"94";"158";"2";pand.24dba7f7-1ff7-4549-a05f-6e42eaef7358
"POLYGON ((79988.579 454940.099,79988.216 454940.536,79988.131 454940.466,79986.436 454942.631,79986.536 454942.703,79985.478 454944.021,79977.171 454937.398,79980.28 454933.499,79988.579 454940.099))";"0518100000204672";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204672;"1994";Pand in gebruik;woonfunctie;"122";"122";"1";pand.5c98e6d0-40b0-4f6e-8264-515c77e20f79
"POLYGON ((80506.756 454665.912,80506.822 454665.962,80504.556 454669.755,80499.862 454667.116,80499.367 454667.898,80498.079 454667.109,80498.175 454666.949,80497.713 454666.73,80498.582 454665.218,80498.493 454665.167,80498.914 454664.411,80506.161 454652.557,80513.041 454655.4,80512.969 454655.576,80506.756 454665.912))";"0518100000204394";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204394;"1946";Pand in gebruik;"winkelfunctie,woonfunctie";"43";"159";"4";pand.f0858335-cd60-42d8-aad0-48d0daf344e7
"POLYGON ((79471.151 454907.096,79471.06 454907.103,79468.607 454910.062,79459.776 454903.156,79460.918 454901.801,79459.724 454900.837,79458.649 454899.969,79461.093 454896.834,79464.771 454899.677,79470.898 454904.415,79470.998 454904.411,79471.151 454907.096))";"0518100000203360";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203360;"1894";Pand in gebruik;"industriefunctie,woonfunctie";"37";"63";"4";pand.3d856742-0fbf-4840-ba2a-9a7662b75ae0
"POLYGON ((79468.607 454910.062,79464.926 454914.502,79455.265 454906.586,79457.642 454903.672,79458.634 454904.519,79459.776 454903.156,79468.607 454910.062))";"0518100000203361";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203361;"1894";Pand in gebruik;"winkelfunctie,woonfunctie";"37";"97";"4";pand.84902017-765e-4f73-a687-38a1cd632a33
"POLYGON ((79951.625 454216.602,79926.993 454201.374,79930.763 454195.338,79926.187 454192.458,79929.318 454187.463,79941.329 454168.298,79945.93 454171.182,79949.6 454165.331,79970.897 454178.581,79951.625 454216.602))";"0518100000205336";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205336;"1985";Pand in gebruik;industriefunctie;"1272";"1272";"1";pand.834b8eab-74c4-40cc-8e46-0bb72e0dc1a4
"POLYGON ((80542.87 454697.327,80554.001 454680.392,80558.752 454683.677,80547.786 454700.157,80547.298 454700.892,80544.37 454698.848,80544.616 454698.514,80542.87 454697.327))";"0518100000204416";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204416;"1901";Pand in gebruik;"winkelfunctie,woonfunctie";"79";"136";"2";pand.35221e73-96ae-4946-b61c-582806aff413
"POLYGON ((79451.21 454931.138,79451.272 454931.189,79446.989 454936.393,79442.114 454932.151,79438.231 454928.885,79437.408 454928.168,79436.67 454927.525,79435.405 454926.461,79432.412 454923.929,79434.339 454921.64,79434.512 454921.435,79438.426 454924.73,79440.596 454922.154,79442.751 454923.97,79451.21 454931.138))";"0518100000203362";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203362;"1894";Pand in gebruik;woonfunctie;"99";"159";"2";pand.f31578bb-5ad5-438c-aab1-5733db8b51c1
"POLYGON ((80624.368 454743.636,80623.493 454744.909,80619.131 454751.25,80614.428 454747.684,80623.186 454735.23,80626.163 454737.898,80628.022 454739.564,80624.368 454743.636))";"0518100000204721";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204721;"1850";Pand in gebruik;woonfunctie;"35";"59";"4";pand.753da149-687c-4cae-80d2-e34b814253ff
"POLYGON ((80620.866 454402.306,80626.679 454392.77,80625.754 454392.197,80630.506 454384.543,80631.063 454384.895,80632.069 454383.157,80632.289 454383.289,80632.899 454383.651,80636.06 454385.534,80633.603 454389.586,80624.639 454404.369,80620.866 454402.306))";"0518100000203910";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203910;"1922";Pand in gebruik;"winkelfunctie,woonfunctie";"114";"123";"2";pand.bad2507d-72c5-4ce7-a5a5-667f8c200d28
"POLYGON ((80610.569 454393.789,80609.258 454395.996,80605.751 454394.071,80613.719 454380.964,80617.181 454382.996,80610.569 454393.789))";"0518100000203911";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203911;"1922";Pand in gebruik;"winkelfunctie,woonfunctie";"20";"35";"3";pand.5f91b39e-8324-4a63-a5f8-fa62077064ca
"POLYGON ((79413.221 454390.193,79412.257 454394.919,79409.093 454394.206,79409.341 454393.141,79411.065 454393.44,79411.569 454391.68,79403.066 454390.108,79402.443 454392.917,79389.549 454390.777,79390.649 454384.766,79413.516 454388.588,79413.221 454390.193))";"0518100000203923";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203923;"1904";Pand in gebruik;"kantoorfunctie,woonfunctie";"103";"172";"2";pand.fac8e50c-8e15-4361-9ec7-9ae2ba23c37d
"POLYGON ((80614.279 454496.752,80609.118 454493.599,80611.761 454489.464,80616.836 454492.747,80614.279 454496.752))";"0518100000204442";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204442;"1660";Pand in gebruik;woonfunctie;"62";"62";"1";pand.60a473e6-6894-4576-9eaa-699a846b7fde
"POLYGON ((80287.888 454232.022,80282.732 454228.952,80288.475 454219.568,80293.623 454222.651,80287.888 454232.022))";"0518100000205376";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205376;"1925";Pand in gebruik;woonfunctie;"18";"86";"6";pand.d8ec012c-69cc-4f50-a561-026e65557b38
"POLYGON ((79410.176 454753.916,79406.182 454751.067,79414.611 454738.822,79416.834 454740.329,79417.314 454739.652,79419.392 454741.179,79418.545 454742.349,79416.47 454740.84,79413.702 454744.74,79415.708 454746.163,79410.176 454753.916))";"0518100000203933";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000203933;"1895";Pand in gebruik;woonfunctie;"53";"57";"2";pand.8d352c6c-815b-480a-9da7-f4b36d907930
"POLYGON ((80601.738 454141.038,80600.379 454143.595,80599.322 454145.665,80598.397 454147.325,80596.85 454150.236,80595.525 454152.729,80594.613 454154.446,80593.238 454157.033,80592.527 454158.37,80592.174 454159.034,80589.718 454163.593,80588.198 454166.274,80578.811 454161.339,80577.837 454160.827,80578.277 454160.003,80568.052 454154.542,80570.305 454150.329,80570.949 454150.673,80571.188 454150.226,80572.152 454148.424,80571.508 454148.08,80572.079 454147.01,80574.707 454142.088,80576.909 454137.963,80577.553 454138.307,80578.014 454137.443,80578.754 454136.057,80578.11 454135.713,80578.617 454134.764,80581.464 454129.436,80581.626 454129.133,80583.413 454125.789,80584.057 454126.133,80584.662 454125.001,80585.259 454123.884,80584.615 454123.54,80585.423 454122.028,80588.16 454116.908,80589.917 454113.621,80590.561 454113.965,80591.442 454112.317,80591.763 454111.716,80591.119 454111.372,80592.173 454109.398,80593.89 454106.183,80594.852 454104.381,80605.081 454109.845,80604.91 454110.171,80604.186 454111.551,80605.133 454112.057,80614.481 454117.06,80613.862 454118.224,80612.608 454120.584,80611.326 454122.997,80609.034 454127.31,80607.75 454129.724,80606.697 454131.707,80604.157 454136.487,80601.738 454141.038))";"0518100000204730";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204730;"1990";Pand in gebruik;"overige gebruiksfunctie,woonfunctie";"56";"641";"25";pand.c2eda393-1de9-4cc6-9858-6f13739d96d7
"POLYGON ((80452.773 454719.336,80447.608 454716.073,80448.48 454714.718,80449.863 454712.568,80450.045 454712.286,80455.178 454715.582,80452.773 454719.336))";"0518100000204447";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204447;"1864";Pand in gebruik;woonfunctie;"46";"46";"1";pand.3a4699e2-2612-41da-bde8-249c275d72fa
"POLYGON ((80094.778 454907.152,80092.813 454909.564,80087.871 454905.899,80084.069 454910.676,80088.972 454914.237,80086.824 454916.947,80082.22 454913.495,80077.22 454909.746,80068.672 454903.622,80068.332 454903.382,80067.661 454902.909,80067.473 454902.777,80075.406 454892.896,80075.581 454892.68,80086.243 454900.364,80088.104 454901.714,80094.778 454907.152))";"0518100000204456";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204456;"1904";Pand in gebruik;woonfunctie;"135";"194";"4";pand.c215c88a-0a6f-4ab1-aefb-3166a2aa928e
"POLYGON ((79491.514 454741.296,79491.579 454741.195,79491.854 454741.394,79491.488 454741.979,79489.604 454744.994,79488.962 454746.021,79480.688 454740.985,79483.587 454736.433,79483.865 454736.592,79483.83 454736.653,79484.009 454736.76,79491.514 454741.296))";"0518100000204749";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204749;"1896";Pand in gebruik;woonfunctie;"80";"80";"1";pand.b09d1c94-0900-4140-a9e4-50370367af31
"POLYGON ((80189.562 454902.406,80186.188 454899.824,80191.545 454892.484,80194.965 454894.885,80189.562 454902.406))";"0518100000205870";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000205870;"1900";Pand in gebruik;woonfunctie;"29";"53";"4";pand.d154cb03-4fa2-4b9b-b2ae-caebb53b21b1
"POLYGON ((80245.446 454797.314,80246.282 454797.863,80244.862 454800.0,80243.165 454802.554,80242.332 454802.001,80238.959 454799.762,80236.285 454803.723,80236.204 454803.856,80233.367 454808.207,80224.495 454802.318,80226.034 454800.0,80227.382 454797.969,80229.531 454794.731,80230.39 454793.437,80232.887 454789.682,80235.897 454785.151,80238.854 454780.699,80240.525 454781.798,80247.575 454786.418,80244.618 454790.919,80241.932 454795.006,80245.446 454797.314))";"0518100000204788";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000204788;"1980";Pand in gebruik;woonfunctie;"46";"134";"8";pand.7461f844-c912-46b8-b09b-463a174d19b8
